0,3
4,1
7,3
14,1
17,1
23,0
29,2
32,2
38,6
42,0
44,4
52,4
57,0
60,1
65,0
72,0
74,2
79,2
86,1
92,0
95,2
99,2
105,0
111,2
117,0
121,0
122,7
125,2
132,0
136,1
140,5
145,2
146,4
152,0
154,2
164,4
171,0
180,1
188,3
191,1
199,2
205,0
211,6
218,2
222,0
224,0
231,0
232,1
234,1
235,2
241,2
249,0
255,3
257,13
263,2
269,1
271,2
279,1
284,2
290,1
293,3
302,1
307,0
313,0
318,10
323,0
328,2
329,0
334,1
339,4
344,0
353,5
358,1
360,0
365,0
375,2
377,1
382,3
390,1
396,4
400,5
404,0
409,1
415,0
420,2
425,1
431,2
437,2
440,3
446,6
449,0
456,0
458,1
463,0
468,0
478,0
481,3
485,0
488,0
493,0
499,2
504,0
511,1
517,0
521,1
525,1
532,3
537,0
540,1
542,1
544,0
546,1
555,1
557,0
561,1
562,0
566,0
572,3
581,2
592,1
596,2
600,0
601,10
605,4
609,1
612,4
620,1
623,2
626,0
631,1
637,4
640,1
646,0
651,0
655,3
662,2
668,2
676,3
684,3
687,0
690,0
695,3
698,3
703,1
705,12
710,0
714,0
716,1
723,3
728,2
739,1
742,0
745,0
751,0
753,2
756,0
759,7
764,1
773,0
778,0
783,1
791,2
794,4
798,2
803,2
810,0
814,0
817,0
823,2
827,0
831,5
839,5
844,3
846,0
853,1
860,0
866,0
870,2
874,3
876,0
877,3
880,8
882,1
889,3
894,1
899,1
904,0
907,0
913,2
918,2
921,0
927,1
933,1
935,0
939,2
944,4
948,0
958,0
964,1
965,2
969,1
973,0
975,1
978,0
984,0
987,0
989,1
994,1
1000,0
1005,0
1009,3
1012,0
1015,0
1022,2
1025,3
1032,1
1035,8
1040,2
1043,0
1051,0
1055,0
1059,3
1068,3
1073,0
1078,3
1086,1
1091,4
1094,3
1098,3
1100,1
1107,1
1111,0
1113,1
1116,0
1123,2
1126,0
1132,3
1134,0
1137,0
1143,2
1148,0
1153,2
1156,0
1160,1
1165,1
1171,3
1176,0
1183,0
1190,4
1199,2
1208,0
1210,2
1217,3
1222,2
1227,0
1233,0
1238,0
1241,0
1250,2
1256,0
1261,0
1264,5
1271,0
1274,0
1281,2
1285,0
1291,0
1299,6
1306,0
1314,0
1316,2
1323,8
1325,0
1331,1
1340,0
1347,2
1352,3
1358,5
1366,4
1369,1
1372,0
1379,1
1382,0
1388,0
1392,4
1397,1
1404,0
1414,3
1416,1
1420,2
1424,2
1431,0
1436,0
1441,0
1448,0
1454,0
1457,0
1466,5
1473,0
1477,2
1482,2
1487,3
1488,0
1495,1
1502,3
1507,2
1510,0
1513,4
1519,4
1525,0
1531,2
1539,2
1547,1
1554,0
1558,0
1567,0
1571,0
1576,7
1581,3
1587,3
1589,0
1593,0
1600,3
1602,5
1603,3
1607,1
1612,2
1620,0
1621,1
1627,0
1632,0
1637,1
1640,2
1649,1
1654,2
1660,3
1667,1
1671,0
1677,0
1681,0
1684,2
1690,8
1694,3
1697,3
1703,4
1711,0
1716,0
1722,2
1732,5
1738,0
1746,0
1750,0
1755,2
1758,0
1763,5
1767,0
1776,0
1779,0
1785,4
1790,2
1795,0
1797,2
1806,0
1810,0
1815,0
1818,0
1822,0
1830,5
1830,1
1835,0
1838,2
1842,1
1849,3
1852,2
1857,1
1863,0
1870,0
1874,5
1879,0
1885,1
1891,1
1896,4
1900,3
1906,0
1913,2
1916,0
1928,1
1935,0
1939,0
1944,1
1948,0
1951,2
1958,0
1966,0
1975,0
1981,0
1990,0
1994,2
1998,1
2006,1
2010,0
2018,1
2023,1
2026,0
2031,3
2037,2
2040,2
2044,3
2051,1
2054,2
2056,5
2059,4
2064,0
2073,0
2075,1
2079,2
2084,3
2088,1
2095,1
2098,0
2102,0
2106,3
2110,4
2113,0
2122,5
2127,0
2132,0
2133,0
2138,2
2142,0
2146,1
2152,1
2158,0
2162,0
2167,1
2172,3
2178,2
2180,8
2184,0
2187,2
2189,0
2198,1
2201,0
2207,4
2214,1
2222,11
2234,0
2240,3
2243,0
2249,0
2253,1
2254,1
2261,1
2267,6
2273,0
2279,1
2285,0
2290,4
2294,1
2302,1
2308,5
2309,0
2312,0
2317,0
2321,1
2324,0
2328,1
2337,0
2345,0
2349,1
2351,0
2354,0
2360,1
2363,2
2369,0
2371,0
2377,0
2385,0
2389,2
2393,0
2398,0
2406,0
2412,2
2418,6
2419,0
2425,0
2428,1
2432,2
2436,2
2441,4
2449,1
2454,0
2460,6
2464,5
2467,3
2473,0
2474,0
2479,0
2484,6
2488,0
2492,0
2498,1
2500,0
2505,1
2511,0
2513,0
2517,1
2521,6
2526,2
2532,0
2535,3
2542,4
2549,7
2552,2
2558,2
2565,1
2568,10
2569,1
2574,0
2577,0
2582,3
2583,4
2590,1
2595,1
2601,0
2610,1
2613,3
2618,5
2622,0
2627,0
2630,3
2635,1
2640,2
2644,2
2646,0
2654,0
2656,1
2656,0
2656,0
2661,0
2666,0
2672,1
2679,4
2683,4
2685,2
2690,0
2691,0
2695,5
2699,0
2705,4
2709,0
2715,3
2720,2
2724,0
2727,1
2730,3
2735,2
2737,1
2743,0
2747,4
2756,7
2762,2
2766,2
2772,0
2774,2
2780,1
2783,4
2788,3
2792,2
2795,1
2800,0
2804,4
2810,2
2818,1
2820,5
2824,1
2834,2
2837,3
2839,7
2843,3
2850,1
2858,1
2861,1
2864,1
2868,0
2875,1
2879,0
2887,0
2892,3
2894,3
2897,0
2906,2
2909,1
2913,0
2919,0
2923,3
2927,3
2935,1
2941,0
2948,0
2952,2
2960,4
2964,0
2974,0
2979,4
2981,0
2988,1
2991,0
2992,0
2997,2
3003,1
3008,1
3012,2
3014,4
3021,0
3028,1
3035,0
3038,4
3042,4
3045,1
3052,0
3055,1
3057,2
3058,0
3064,1
3067,3
3071,3
3080,0
3086,0
3090,1
3093,0
3098,0
3102,1
3108,6
3113,3
3116,1
3121,1
3128,7
3129,1
3134,2
3141,0
3146,2
3150,1
3155,1
3157,2
3162,2
3169,1
3178,5
3182,0
3189,1
3193,3
3197,2
3205,0
3208,3
3213,1
3222,3
3227,2
3229,1
3230,0
3237,0
3241,0
3248,0
3250,3
3253,0
3258,0
3262,0
3266,0
3267,2
3271,0
3275,1
3280,2
3282,0
3293,0
3300,1
3306,0
3312,2
3315,0
3322,4
3329,6
3335,3
3339,0
3342,0
3347,0
3351,2
3357,2
3365,1
3370,2
3373,0
3382,4
3384,1
3391,0
3398,0
3404,0
3408,0
3411,0
3413,0
3416,1
3420,0
3425,10
3429,2
3436,0
3442,2
3448,1
3452,1
3454,0
3458,0
3461,1
3464,1
3468,1
3474,0
3481,1
3485,2
3488,0
3492,0
3496,0
3500,2
3506,0
3513,1
3517,2
3522,0
3526,0
3534,5
3538,0
3544,1
3547,0
3553,0
3560,4
3562,1
3565,7
3571,3
3575,0
3580,1
3588,3
3594,0
3596,2
